Rock,1,"A broad genre characterized by a strong rhythm, simple melodies, and often featuring electric guitars."
Jazz,2,"A genre known for its improvisational style, complex chords, and rhythms, and its influence from African American musical traditions."
Metal,3,"A genre that features heavy guitar riffs, powerful drumming, and often dark or intense themes."
Alternative & Punk,4,"Genres known for their rebellious spirit, raw sound, and often anti-establishment themes."
Rock And Roll,5,"A genre that combines rhythm and blues with country, known for its upbeat tempo and energetic performances."
Blues,6,"A genre rooted in African American history, characterized by its use of blue notes, repetitive chord progressions, and expressive lyrics."
Latin,7,"A genre that encompasses a variety of music styles from Latin America, known for its rhythmic and melodic diversity."
Reggae,8,"A genre originating from Jamaica, characterized by its offbeat rhythms and themes of social and political commentary."
Pop,9,"A genre known for its catchy melodies, simple lyrics, and broad appeal, often designed for mass consumption."
Soundtrack,10,"Music composed specifically for films, television, or other media, intended to enhance the narrative or emotional impact."
Bossa Nova,11,"A Brazilian genre that blends samba rhythms with jazz influences, known for its smooth, relaxed style."
Easy Listening,12,"A genre characterized by its soothing, mellow sounds and smooth melodies, often intended for background music."
Heavy Metal,13,"A subgenre of metal with an emphasis on loud, aggressive music and complex guitar solos."
R&B/Soul,14,"Genres known for their emotive vocal style and focus on rhythm, groove, and melodic expression."
Electronica/Dance,15,"A genre featuring electronic instruments and synthesizers, often associated with danceable rhythms and club culture."
World,16,"A genre that encompasses diverse musical styles from around the globe, often reflecting traditional and cultural influences."
Hip Hop/Rap,17,"A genre that includes rhythmic speech (rap) and beats, often focusing on social issues, storytelling, and rhythmic innovation."
Alternative,23,"A genre known for its experimental and unconventional approach, often diverging from mainstream music conventions."
Classical,24,"A genre encompassing a wide range of Western art music from different historical periods, known for its complexity and formal structure."
Opera,25,"A theatrical art form combining music, singing, and drama, known for its elaborate productions and vocal virtuosity."
